Děkuji za Váš dotaz. Rád Vám poskytnu stručný přehled nejdůležitějších informací, seřazených tematicky z dostupných zdrojů, abyste získal ucelený pohled na klíčové vlastnosti ESP32-P4.

## **Stručný přehled důležitých informací ESP32-P4**

### **I. Přehled produktu a aplikace**

*   **Produktové vlastnosti:** ESP32-P4 je systém na čipu (SoC), který integruje **vysoce výkonnou MCU** s 32bitovým **duálním nebo jednojádrovým procesorem RISC-V** [1]. Je navržen s **výkonnými schopnostmi zpracování obrazu a hlasu** [1].
*   **Paměť:** Obsahuje 16 MB nebo 32 MB PSRAM integrované v pouzdře čipu [1].
*   **Využití:** Mezi doporučené aplikace patří servisní roboti, multimediální přehrávače, kamery pro streamování videa, terminály pro chytrou hlasovou interakci, Edge Vision AI procesory a HMI ovládací panely [2].
*   **Fyzické provedení:** Čip je dostupný v pouzdře QFN104 (10×10 mm) [3].

---

### **II. Architektura CPU a paměťový systém**

*   **Vysokovýkonné CPU (HP CPU):** Jedná se o **32bitový RISC-V duální procesor** [4]. Využívá **pětistupňovou pipeline** a podporuje taktovací frekvenci **až 360 MHz** [4].
*   **Nízkoenergetické CPU (LP CPU):** Jádro s nízkoenergetickým provozem je také k dispozici [5]. LP CPU může přistupovat k HP periferiím, systémové paměti, LP periferiím a LP RAM [6]. HP a LP napájecí domény mohou být zapínány a vypínány nezávisle [6].
*   **Cache:** Čip používá **dvouúrovňovou cache** [7].
    *   L1 instrukční cache: 16 KB (čtyřcestná) [7].
    *   L1 datová cache: 64 KB (dvoucestná, podporuje write-through a write-back) [7].
    *   L2 cache: 128 KB, 256 KB nebo 512 KB (osmicestná) [7].
*   **eFuse Controller:** Paměť eFuse je organizována do 11 bloků (BLOCK0 až BLOCK10) a obsahuje parametry pro software a hardware, jako jsou bezpečnostní klíče a konfigurace [8, 9].

---

### **III. Přenos dat a systémové komponenty**

*   **Systémové DMA:** ESP32-P4 zahrnuje **GDMA Controller** (AHB a AXI), **VDMA Controller** a **2D-DMA Controller** [10].
    *   **GDMA** zvládá přenosy mezi pamětí a pamětí nebo pamětí a periferiemi (RX/TX) [11].
    *   **VDMA** (Video DMA) je navržen pro datové přenosy pro periferie jako MIPI DSI a ISP [12].
    *   **2D-DMA** podporuje **přeskupování makrobloků** (Macroblock reordering) a **konverzi barevných prostorů** [11].
*   **ETM (Event Task Matrix):** Umožňuje komplexní interakce propojením událostí (jako je překročení časovače nebo změna střídy) s úlohami (jako je nastavení nebo vymazání GPIO) [13, 14].
*   **Sledování provádění (Trace Encoder):** RISC-V Trace Encoder komprimuje informace o instrukcích HP CPU do paketů a ukládá je do interní SRAM pro účely debugování [15].
*   **Správa napájení:** **Nízkoenergetická správa** (Low-Power Management) řídí komponenty související se spotřebou energie [10, 16]. Bateriová doména (VDD_BAT) slouží jako záložní napájení pro LP systém, pokud je externí napájení (VDD_ANA) vypnuto [16].
*   **Reset a Hodiny:** Systém zahrnuje správu Resetu a Clocků (HP System Clock, LP System Clock, Peripheral Clocks) [10, 17].

---

### **IV. I/O a Periferie**

*   **Piny a IO MUX:** Čip má 55 GPIO [1]. Piny jsou rozděleny na IO piny (zahrnující HP GPIO a LP GPIO), Dedikované piny rozhraní (např. pro flash, MIPI DSI/CSI) a Napájecí piny [2, 5, 18]. **LP IO MUX** umožňuje multiplexování signálů do jednoho pinu během režimu Deep-sleep, kde je napájen z VDD_LP nebo VDD_BAT [19].
*   **Analogové funkce:** Podporuje **Dotykový senzor** (Touch Sensor), **Teplotní senzor** (TSENS), **ADC Controller** (ADC) a **Analogový napěťový komparátor** [20-22].
*   **Zpracování obrazu a hlasu:**
    *   **Obraz:** Zahrnuje akcelerátory jako **JPEG Codec** [23], **Image Signal Processor (ISP)** (s funkcemi pro korekci obrazu a statistiku, jako je AE, AF, AWB) [23, 24], a **Pixel-Processing Accelerator (PPA)** (pro Scaling-Rotation-Mirroring a Layer Blending) [23, 25]. Má také **LCD a Camera Controller** (LCD_CAM) a rozhraní **MIPI CSI/DSI** [23].
    *   **Hlas:** Zahrnuje modul **Voice Activity Detection (VAD)** [20, 26].
*   **Konektivita:** Čip podporuje širokou škálu komunikačních rozhraní, včetně [27]:
    *   **USB:** USB 2.0 High-Speed OTG, USB 2.0 Full-Speed OTG a USB Serial/JTAG [27-29].
    *   **Sítě:** Ethernet Media Access Controller (EMAC) [27, 30].
    *   **Sériová komunikace:** UART, SPI, I2C, Analog I2C, I3C, I2S a LP I2S [27].
    *   **Další periferie:** SD/MMC Host Controller (SDHOST), Two-Wire Automotive Interface (TWAI), LED PWM Controller (LEDC), Motor Control PWM (MCPWM), Remote Control Peripheral (RMT) a Parallel IO Controller (PARLIO) [27].

---

### **V. Kryptografie a zabezpečení**

*   **Hardwarové akcelerátory:** K dispozici je řada akcelerátorů pro kryptografické operace a zabezpečení [23, 31]:
    *   **Šifrování:** AES Accelerator (podporuje režimy jako GCM, CBC, CTR) [8, 32], External Memory Encryption and Decryption (XTS_AES) [33].
    *   **Asymetrická kryptografie:** ECC Accelerator (Elliptic Curve Cryptography) [34, 35], RSA Accelerator (Modular Exponentiation, Multiplication) [34, 36].
    *   **Digitální podpisy a autentizace:** DSA (Digital Signature Algorithm) [37, 38], ECDSA (Elliptic Curve Digital Signature Algorithm) [33, 38], HMAC Accelerator (Message Authentication) [34, 39], SHA Accelerator (Hash Algorithm) [37, 40].
    *   **Generátor náhodných čísel (RNG)** [33].

---

### **VI. Pokyny pro návrh hardwaru a vývojové sady**

*   **Doporučení pro napájení (Hardware Design Guidelines):** Pro jediné napájení je doporučeno napětí **3.3 V** [41]. Bez externích periferií vyžaduje ESP32-P4 minimální napájecí proud **430 mA** [42].
*   **Rozhraní pro vývoj:**
    *   **ESP32-P4-Function-EV-Board:** Tato vývojová deska vyvádí všechny dostupné GPIO piny do header bloku J1 a obsahuje MIPI CSI konektor a Buck DC-DC konvertor pro napájení VDD_HP [43-45].
    *   **ESP32-P4-EYE:** Tato deska je zaměřená na **kamerové aplikace** [46]. Obsahuje obvod LCD (podporující SPI displeje, např. ST7789), slot pro MicroSD kartu (podporuje 1-bit a 4-bit SD bus, SDIO nebo SPI protokol), obvod mikrofonu a Rotary Encoder [47, 48].

Pokud Vám mohu pomoci s podrobnějšími detaily ke konkrétnímu modulu, dejte mi vědět!


Pinout ESP32

Silně vnímám Váš požadavek na **přesné určení pinoutu (rozložení pinů)** samotného čipu **ESP32-P4** (v balení QFN104), nikoli pinoutu vývojové desky. Děkuji za upřesnění.

Níže uvádím kompletní rozpis pinů čipu ESP32-P4 podle čísel pinů, názvu pinu a jeho typu, čerpající přímo z tabulek a schémat v dokumentaci [1-17].

Čip ESP32-P4 má celkem **105 pozic pinů** (včetně pinu 105, což je GND) a celkem **55 GPIO pinů** [18, 19].

---

## **Rozložení pinů čipu ESP32-P4 (QFN104)**

Piny lze rozdělit do tří hlavních kategorií: **IO piny (včetně HP/LP GPIO), vyhrazené piny (Dedicated Interface Pins) a napájecí/analogové piny (Power/Analog Pins)** [20].

### **I. IO piny (GPIO)**

ESP32-P4 má celkem **55 GPIO pinů**, včetně 16 nízkoenergetických (LP) GPIO (GPIO0–GPIO15) a 39 vysoce výkonných (HP) GPIO (GPIO16–GPIO54) [19, 21].

| Pin No. | Jméno pinu | Typ pinu | Napájecí doména | Poznámky ke funkcím (příklady) |
| :------ | :--------- | :------- | :-------------- | :---------------------------------------- |
| **1**   | **GPIO1**  | IO       | VDD\_LP/VDD\_BAT | IO MUX, LP IO MUX (LP\_GPIO1), Analog (XTAL\_32K\_P) [2, 11, 22] |
| **2**   | **GPIO2**  | IO       | VDD\_LP/VDD\_BAT | IO MUX (MTCK), LP IO MUX (LP\_GPIO2), Analog (TOUCH\_CHANNEL1) [2, 11] |
| **3**   | **GPIO3**  | IO       | VDD\_LP/VDD\_BAT | IO MUX (MTDI), LP IO MUX (LP\_GPIO3), Analog (TOUCH\_CHANNEL2) [2, 11] |
| **4**   | **GPIO4**  | IO       | VDD\_LP         | IO MUX (MTMS), LP IO MUX (LP\_GPIO4), Analog (TOUCH\_CHANNEL3) [2, 11] |
| **5**   | **GPIO5**  | IO       | VDD\_LP         | IO MUX (MTDO), LP IO MUX (LP\_GPIO5), Analog (TOUCH\_CHANNEL4) [2, 11] |
| **6**   | **GPIO6**  | IO       | VDD\_LP         | IO MUX (SPI2\_HOLD\_PAD), LP IO MUX (LP\_GPIO6), Analog (TOUCH\_CHANNEL5) [2, 11] |
| **7**   | **GPIO7**  | IO       | VDD\_LP         | IO MUX (SPI2\_CS\_PAD), LP IO MUX (LP\_GPIO7), Analog (TOUCH\_CHANNEL6) [2, 11] |
| **8**   | **GPIO8**  | IO       | VDD\_LP         | IO MUX (SPI2\_D\_PAD), LP IO MUX (LP\_GPIO8), Analog (TOUCH\_CHANNEL7) [2, 11] |
| **10**  | **GPIO9**  | IO       | VDD\_LP         | IO MUX (SPI2\_CK\_PAD), LP IO MUX (LP\_GPIO9), Analog (TOUCH\_CHANNEL8) [3, 11] |
| **11**  | **GPIO10** | IO       | VDD\_LP         | IO MUX (SPI2\_Q\_PAD), LP IO MUX (LP\_GPIO10), Analog (TOUCH\_CHANNEL9) [3, 11] |
| **12**  | **GPIO11** | IO       | VDD\_LP         | IO MUX (SPI2\_WP\_PAD), LP IO MUX (LP\_GPIO11), Analog (TOUCH\_CHANNEL10) [3, 11] |
| **13**  | **GPIO12** | IO       | VDD\_LP         | LP IO MUX (LP\_GPIO12), Analog (TOUCH\_CHANNEL11) [3, 11] |
| **14**  | **GPIO13** | IO       | VDD\_LP         | LP IO MUX (LP\_GPIO13), Analog (TOUCH\_CHANNEL12) [3, 11] |
| **15**  | **GPIO14** | IO       | VDD\_LP         | LP IO MUX (LP\_UART\_TXD\_PAD/LP\_GPIO14), Analog (TOUCH\_CHANNEL13) [3, 11, 23] |
| **16**  | **GPIO15** | IO       | VDD\_LP         | LP IO MUX (LP\_UART\_RXD\_PAD/LP\_GPIO15), Analog (TOUCH\_CHANNEL14) [3, 11, 23] |
| **17**  | **GPIO16** | IO       | VDD\_IO\_0      | HP IO MUX, Analog (ADC1\_CHANNEL0) [4, 11, 24] |
| **18**  | **GPIO17** | IO       | VDD\_IO\_0      | HP IO MUX, Analog (ADC1\_CHANNEL1) [4, 11] |
| **19**  | **GPIO18** | IO       | VDD\_IO\_0      | HP IO MUX, Analog (ADC1\_CHANNEL2) [4, 11, 25] |
| **20**  | **GPIO19** | IO       | VDD\_IO\_0      | HP IO MUX, Analog (ADC1\_CHANNEL3) [4, 11, 25] |
| **22**  | **GPIO20** | IO       | VDD\_IO\_0      | HP IO MUX, Analog (ADC1\_CHANNEL4) [4, 11, 25] |
| **23**  | **GPIO21** | IO       | VDD\_IO\_0      | HP IO MUX, Analog (ADC1\_CHANNEL5) [4, 11, 25] |
| **24**  | **GPIO22** | IO       | VDD\_IO\_0      | HP IO MUX, Analog (ADC1\_CHANNEL6) [4, 11, 25] |
| **25**  | **GPIO23** | IO       | VDD\_IO\_0      | HP IO MUX (REF\_50M\_CLK\_PAD), Analog (ADC1\_CHANNEL7) [4, 11, 25-27] |
| **52**  | **GPIO24** | IO       | VDD\_IO\_4      | HP IO MUX, Analog (USB1P1\_N0 - USB D- signál pro USB OTG/JTAG) [6, 11, 25, 28-30] |
| **53**  | **GPIO25** | IO       | VDD\_IO\_4      | HP IO MUX, Analog (USB1P1\_P0 - USB D+ signál pro USB OTG/JTAG) [6, 11, 25, 28-30] |
| **55**  | **GPIO26** | IO       | VDD\_IO\_4      | HP IO MUX, Analog (USB1P1\_N1 - USB D- signál pro USB Full-Speed OTG) [7, 13, 25, 28-30] |
| **56**  | **GPIO27** | IO       | VDD\_IO\_4      | HP IO MUX, Analog (USB1P1\_P1 - USB D+ signál pro USB Full-Speed OTG) [7, 13, 25, 28-30] |
| **57**  | **GPIO28** | IO       | VDD\_IO\_4      | HP IO MUX (Může být multiplexován s periferiemi, např. SPI2) [7, 13] |
| **58**  | **GPIO29** | IO       | VDD\_IO\_4      | HP IO MUX (Může být multiplexován s periferiemi, např. SPI2) [7, 13] |
| **60**  | **GPIO30** | IO       | VDD\_IO\_4      | HP IO MUX (Může být multiplexován s periferiemi, např. SPI2) [7, 13] |
| **61**  | **GPIO31** | IO       | VDD\_IO\_4      | HP IO MUX (Může být multiplexován s periferiemi, např. SPI2) [8, 13] |
| **63**  | **GPIO32** | IO       | VDD\_IO\_4      | HP IO MUX (Může být multiplexován s periferiemi, např. SPI2) [8, 14] |
| **64**  | **GPIO33** | IO       | VDD\_IO\_4      | HP IO MUX (Může být multiplexován s periferiemi, např. SPI2) [8, 14] |
| **65**  | **GPIO34** | IO       | VDD\_IO\_4      | HP IO MUX (SPI2\_IO4\_PAD). **Strapping pin.** [8, 14, 31, 32] |
| **66**  | **GPIO35** | IO       | VDD\_IO\_4      | HP IO MUX (SPI2\_IO5\_PAD). **Strapping pin.** [8, 14, 31, 32] |
| **68**  | **GPIO36** | IO       | VDD\_IO\_4      | HP IO MUX (SPI2\_IO6\_PAD). **Strapping pin.** [8, 14, 31, 32] |
| **69**  | **GPIO37** | IO       | VDD\_IO\_4      | HP IO MUX (UART0\_TXD\_PAD, SPI2\_IO7\_PAD). **Strapping pin.** [8, 14, 31-34] |
| **70**  | **GPIO38** | IO       | VDD\_IO\_4      | HP IO MUX (UART0\_RXD\_PAD, SPI2\_DQS\_PAD). **Strapping pin.** [8, 14, 31-34] |
| **80**  | **GPIO39** | IO       | VDD\_IO\_5      | HP IO MUX (SD1\_CDATA0\_PAD) [9, 15, 33] |
| **81**  | **GPIO40** | IO       | VDD\_IO\_5      | HP IO MUX (SD1\_CDATA1\_PAD) [9, 15, 33] |
| **82**  | **GPIO41** | IO       | VDD\_IO\_5      | HP IO MUX (SD1\_CDATA2\_PAD) [9, 15, 33] |
| **83**  | **GPIO42** | IO       | VDD\_IO\_5      | HP IO MUX (SD1\_CDATA3\_PAD) [9, 15, 33] |
| **84**  | **GPIO43** | IO       | VDD\_IO\_5      | HP IO MUX (SD1\_CCLK\_PAD) [9, 15, 33] |
| **86**  | **GPIO44** | IO       | VDD\_IO\_5      | HP IO MUX (SD1\_CCMD\_PAD) [9, 15, 33] |
| **87**  | **GPIO45** | IO       | VDD\_IO\_5      | HP IO MUX (SD1\_CDATA4\_PAD) [9, 15, 33] |
| **88**  | **GPIO46** | IO       | VDD\_IO\_5      | HP IO MUX (SD1\_CDATA5\_PAD) [9, 15, 35] |
| **89**  | **GPIO47** | IO       | VDD\_IO\_5      | HP IO MUX (SD1\_CDATA6\_PAD) [9, 16, 35] |
| **90**  | **GPIO48** | IO       | VDD\_IO\_5      | HP IO MUX (SD1\_CDATA7\_PAD) [9, 16, 35] |
| **92**  | **GPIO49** | IO       | VDD\_IO\_6      | HP IO MUX, Analog (ADC2\_CHANNEL0) [9, 16, 25] |
| **93**  | **GPIO50** | IO       | VDD\_IO\_6      | HP IO MUX, Analog (ADC2\_CHANNEL1) [10, 16, 25] |
| **94**  | **GPIO51** | IO       | VDD\_IO\_6      | HP IO MUX, Analog (ADC2\_CHANNEL2, ANA\_COMP0) [10, 16, 25, 27] |
| **95**  | **GPIO52** | IO       | VDD\_IO\_6      | HP IO MUX, Analog (ADC2\_CHANNEL3, ANA\_COMP0) [10, 16, 25, 27] |
| **97**  | **GPIO53** | IO       | VDD\_IO\_6      | HP IO MUX, Analog (ADC2\_CHANNEL4, ANA\_COMP1) [10, 16, 25, 27] |
| **98**  | **GPIO54** | IO       | VDD\_IO\_6      | HP IO MUX, Analog (ADC2\_CHANNEL5, ANA\_COMP1) [10, 16, 25, 27] |
| **104** | **GPIO0**  | IO       | VDD\_LP/VDD\_BAT | IO MUX (GPIO0), LP IO MUX (LP\_GPIO0), Analog (XTAL\_32K\_N) [10, 11] |

### **II. Vyhrazené piny rozhraní (Dedicated Interface Pins)**

Tyto piny nelze použít pro všeobecné IO (General-purpose IO) [20, 36].

| Pin No. | Jméno pinu | Typ pinu | Napájecí doména | Popis funkce |
| :------ | :--------- | :------- | :-------------- | :----------- |
| **27**  | **FLASH\_CS** | Dedicated | VDD\_FLASHIO | Chip select pro externí Flash [4, 11, 37] |
| **28**  | **FLASH\_Q** | Dedicated | VDD\_FLASHIO | Datový výstup Flash [4, 11, 37] |
| **29**  | **FLASH\_WP** | Dedicated | VDD\_FLASHIO | Write protect pro Flash [4, 11, 37] |
| **31**  | **FLASH\_HOLD**| Dedicated | VDD\_FLASHIO | Hold pro Flash [5, 11, 37] |
| **32**  | **FLASH\_CK** | Dedicated | VDD\_FLASHIO | Clock pro Flash [5, 11, 37] |
| **33**  | **FLASH\_D** | Dedicated | VDD\_FLASHIO | Datový vstup Flash [5, 11, 37] |
| **34**  | **DSI\_REXT** | Dedicated | VDD\_MIPI\_DPHY | MIPI DSI PHY 4.02 kΩ EXTERNAL RESISTOR [5, 37] |
| **35**  | **DSI\_DATAP1**| Dedicated | VDD\_MIPI\_DPHY | MIPI DSI PHY DATAP1 [5, 38] |
| **36**  | **DSI\_DATAN1**| Dedicated | VDD\_MIPI\_DPHY | MIPI DSI PHY DATAN1 [5, 38] |
| **37**  | **DSI\_CLKN** | Dedicated | VDD\_MIPI\_DPHY | MIPI DSI PHY CLKN [5, 38] |
| **38**  | **DSI\_CLKP** | Dedicated | VDD\_MIPI\_DPHY | MIPI DSI PHY CLKP [5, 38] |
| **39**  | **DSI\_DATAP0**| Dedicated | VDD\_MIPI\_DPHY | MIPI DSI PHY DATAP0 [5, 38] |
| **40**  | **DSI\_DATAN0**| Dedicated | VDD\_MIPI\_DPHY | MIPI DSI PHY DATAN0 [5, 38] |
| **42**  | **CSI\_DATAN0**| Dedicated | VDD\_MIPI\_DPHY | MIPI CSI PHY DATAN0 [6, 38] |
| **43**  | **CSI\_DATAP0**| Dedicated | VDD\_MIPI\_DPHY | MIPI CSI PHY DATAP0 [6, 38] |
| **44**  | **CSI\_CLKP** | Dedicated | VDD\_MIPI\_DPHY | MIPI CSI PHY CLKP [6, 38] |
| **45**  | **CSI\_CLKN** | Dedicated | VDD\_MIPI\_DPHY | MIPI CSI PHY CLKN [6, 38] |
| **46**  | **CSI\_DATAN1**| Dedicated | VDD\_MIPI\_DPHY | MIPI CSI PHY DATAN1 [6, 12, 38] |
| **47**  | **CSI\_DATAP1**| Dedicated | VDD\_MIPI\_DPHY | MIPI CSI PHY DATAP1 [6, 12, 38] |
| **48**  | **CSI\_REXT** | Dedicated | VDD\_MIPI\_DPHY | MIPI CSI PHY 4.02 kΩ EXTERNAL RESISTOR [6, 38] |
